SeqID, Country, Dataset
2084, , tara_assemblies
5332, , tara_assemblies
8151, , tara_assemblies
112, , tara_assemblies
520, , tara_assemblies
5666, , tara_assemblies
805, , tara_assemblies
1357, , tara_assemblies
1923, , tara_assemblies
1004, , tara_assemblies
279, , tara_assemblies
1016, , tara_assemblies
1660, , tara_assemblies
5946, , tara_assemblies
4773, , tara_assemblies
7227, , tara_assemblies
11736, , tara_assemblies
4464, , tara_assemblies
6166, , tara_assemblies
328, , tara_assemblies
2009, , tara_assemblies
824, , tara_assemblies
6716, , tara_assemblies
10390, , tara_assemblies
1660, , tara_assemblies
2339, , tara_assemblies
3442, , tara_assemblies
4148, , tara_assemblies
9847, , tara_assemblies
4681, , tara_assemblies
6013, , tara_assemblies
6830, , tara_assemblies
6900, , tara_assemblies
7565, , tara_assemblies
11315, , tara_assemblies
2848, , tara_assemblies
5044, , tara_assemblies
4324, , tara_assemblies
10101, , tara_assemblies
3955, , tara_assemblies
9367, , tara_assemblies
11613, , tara_assemblies
2778, , tara_assemblies
10991, , tara_assemblies
8968, , tara_assemblies
7135, , tara_assemblies
10018, , tara_assemblies
2626, , tara_assemblies
971, , tara_assemblies
1403, , tara_assemblies
1586, , tara_assemblies
9486, , tara_assemblies
2751, , tara_assemblies
1411, , tara_assemblies
10833, , tara_assemblies
10538, , tara_assemblies
11683, , tara_assemblies
3767, , tara_assemblies
600, , tara_assemblies
2049, , tara_assemblies
10312, , tara_assemblies
5583, , tara_assemblies
7432, , tara_assemblies
11125, , tara_assemblies
11157, , tara_assemblies
11454, , tara_assemblies
8202, , tara_assemblies
8312, , tara_assemblies
9080, , tara_assemblies
6773, , tara_assemblies
11190, , tara_assemblies
21035, Australia, soil_australia
12578, Papua New Guinea, soil_bork
28701, Australia, soil_australia
4544, , tara_assemblies
9033, , tara_assemblies
9841, , tara_assemblies
11025, , tara_assemblies
5169, , tara_assemblies
5486, , tara_assemblies
19946, Australia, soil_australia
28184, Australia, soil_australia
27943, Australia, soil_australia
27090, Australia, soil_australia
27956, Australia, soil_australia
12751, Papua New Guinea, soil_bork
8738, , tara_assemblies
10242, , tara_assemblies
4034, , tara_assemblies
11808, , tara_assemblies
5044, , tara_assemblies
11341, , tara_assemblies
6888, , tara_assemblies
7248, , tara_assemblies
7429, , tara_assemblies
2219, , tara_assemblies
11305, , tara_assemblies
8725, , tara_assemblies
9368, , tara_assemblies
10210, , tara_assemblies
5518, , tara_assemblies
4257, , tara_assemblies
4148, , tara_assemblies
4630, , tara_assemblies
9936, , tara_assemblies
11715, , tara_assemblies
9533, , tara_assemblies
2834, , tara_assemblies
5553, , tara_assemblies
7411, , tara_assemblies
4502, , tara_assemblies
667, , tara_assemblies
8122, , tara_assemblies
5328, , tara_assemblies
18668, Australia, soil_australia
6403, , tara_assemblies
9835, , tara_assemblies
10728, , tara_assemblies
6024, , tara_assemblies
6986, , tara_assemblies
